uid,hn,street,boro,state
92937,33-73,170TH ST,QUEENS,NY
92938,33-78,170TH ST,QUEENS,NY
92939,33-81,170TH ST,QUEENS,NY
92940,33-82,170TH ST,QUEENS,NY
92941,35-03,170TH ST,QUEENS,NY
92942,35-06,170TH ST,QUEENS,NY
92943,35-11,170TH ST,QUEENS,NY
92944,35-15,170TH ST,QUEENS,NY
92945,35-18,170TH ST,QUEENS,NY
92946,35-19,170TH ST,QUEENS,NY
92947,35-24,170TH ST,QUEENS,NY
92948,35-25,170TH ST,QUEENS,NY
92949,35-29,170TH ST,QUEENS,NY
92950,35-30,170TH ST,QUEENS,NY
92951,35-33,170TH ST,QUEENS,NY
92952,35-34,170TH ST,QUEENS,NY
92953,35-37,170TH ST,QUEENS,NY
92954,35-40,170TH ST,QUEENS,NY
92955,35-44,170TH ST,QUEENS,NY
92956,35-45,170TH ST,QUEENS,NY
92957,35-47,170TH ST,QUEENS,NY
92958,35-50,170TH ST,QUEENS,NY
92959,35-54,170TH ST,QUEENS,NY
92960,35-60,170TH ST,QUEENS,NY
92961,35-62,170TH ST,QUEENS,NY
92962,32-01/09,171ST ST,QUEENS,NY
92963,32-04,171ST ST,QUEENS,NY
92964,32-11,171ST ST,QUEENS,NY
92965,32-28,171ST ST,QUEENS,NY
92966,32-30,171ST ST,QUEENS,NY
92967,32-32,171ST ST,QUEENS,NY
92968,33-16,171ST ST,QUEENS,NY
92969,33-18,171ST ST,QUEENS,NY
92970,33-20,171ST ST,QUEENS,NY
92971,33-24,171ST ST,QUEENS,NY
92972,33-25,171ST ST,QUEENS,NY
92973,33-28,171ST ST,QUEENS,NY
92974,33-29,171ST ST,QUEENS,NY
92975,33-33,171ST ST,QUEENS,NY
92976,33-34,171ST ST,QUEENS,NY
92977,33-37,171ST ST,QUEENS,NY
92978,33-38,171ST ST,QUEENS,NY
92979,33-42,171ST ST,QUEENS,NY
92980,33-44,171ST ST,QUEENS,NY
92981,33-48,171ST ST,QUEENS,NY
92982,33-54,171ST ST,QUEENS,NY
92983,33-58,171ST ST,QUEENS,NY
92984,33-60,171ST ST,QUEENS,NY
92985,33-64,171ST ST,QUEENS,NY
92986,33-66,171ST ST,QUEENS,NY
92987,33-74,171ST ST,QUEENS,NY
92988,33-82,171ST ST,QUEENS,NY
92989,35-01,171ST ST,QUEENS,NY
92990,35-04,171ST ST,QUEENS,NY
92991,35-11,171ST ST,QUEENS,NY
92992,35-12,171ST ST,QUEENS,NY
